CUSTOMER_DIM_ID,CUSTOMER_ID,Customer Name,CUSTOMER_LOGIN_ID,CUSTOMER_STREET_ADDRESS,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_ZIP,CUSTOMER_PHONE_NO
1,100078,Caldwell Wade,5078,"216-4377 Semper, St.",COLUMBUS,OHIO,94154,027-779-9608
2,100003,Fritz Grant,5003,Ap #897-7736 Egestas Av.,PHILADELPHIA,PENNSYLVANIA,65342,029-197-3614
3,100082,Graiden Oneill,5082,"P.O. Box 708, 7511 Vitae St.",BOSTON,MASSAACHUSETTS,95485,011-485-6145
4,100040,Caryn Doyle,5040,3258 Massa Avenue,NEW YORK,NEWYORK,92424,090-909-0118
5,100005,Tatyana Ball,5005,Ap #422-2469 Eget Rd.,HOUSTON,TEXAS,63842,093-567-5411
6,100097,Ignatius Mercer,5097,"366-698 Auctor, Avenue",PHOENIX,ARIZONA,98187,017-928-0125
7,100083,Danielle Wilcox,5083,7967 Lobortis. Street,PHILADELPHIA,PENNSYLVANIA,84107,025-225-3040
8,100010,Clio Middleton,5010,"P.O. Box 780, 390 Enim, Street",PHILADELPHIA,PENNSYLVANIA,63859,075-516-4398
9,100022,Angelica Lamb,5022,AP #580-4729 Cras Ave,COLUMBUS,OHIO,53848,065-434-0244
10,100084,Ebony Durham,5084,"9214 Ac, Ave",SAN DIEGO,CALIFORNIA,76584,003-620-6495
11,100024,Dora Zimmerman,5024,Ap #386-1113 Dignissim Ave,CHICAGO,ILLINOIS,73494,003-363-9672
12,100057,Edward Lopez,5057,"P.O. Box 523, 7323 Sagittis Avenue",PHOENIX,ARIZONA,53765,032-378-8856
13,100021,Nora Stuart,5021,7794 Elementum Av.,HOUSTON,TEXAS,79987,008-962-2784
14,100072,Ayanna Riddle,5072,Ap #865-2255 Vivamus Avenue,COLUMBUS,OHIO,96602,069-671-4776
15,100015,Timothy Mcdonald,5015,"P.O. Box 972, 4040 Eget Ave",SAN DIEGO,CALIFORNIA,59167,019-408-7488
16,100045,Darryl Ramirez,5045,425-9230 A Av.,Los Angeles,California,72180,013-892-4548
17,100002,Chantale Gardner,5002,"9257 Et, Rd.",LOS ANGELES,CALIFORNIA,58854,063-786-7948
18,100058,Chase Alston,5058,"P.O. Box 389,2586 Donec street",SAN FRANSISCO,California,71401,066-278-8493
19,100098,Shaine Good,5098,"P.O. Box 161, 4682 Rutrum Road",SAN DIEGO,CALIFORNIA,71455,057-662-4801
20,100032,Clinton Valenzuela,5032,8114 Imperdiet Av.,Los Angeles,California,61854,007-980-5252
21,100085,Linus Burns,5085,"624-8350 Non, Avenue",PHILADELPHIA,PENNSYLVANIA,80702,067-276-3075
22,100055,Julie Reyes,5055,"P.O. Box 712, 9486 Duis Rd.",DALLAS,TEXAS,89857,099-047-3325
23,100020,Hu Miller,5020,Ap #645-9860 Dolor Av.,PHOENIX,ARIZONA,59320,039-108-1190
24,100012,Yuri Dickerson,5012,7556 Odio. St.,PHOENIX,ARIZONA,98822,079-097-0405
25,100056,Fletcher Chang,5056,"P.O. Box 355, 9816 Phasellus Ave",BOSTON,MASSAACHUSETTS,73396,099-528-1665
26,100091,Kermit Garrett,5091,7052 Diam Avenue,CHICAGO,ILLINOIS,74486,092-398-7972
27,100004,Velma Mckenzie,5004,481-8520 Integer Av.,BOSTON,MASSAACHUSETTS,79215,090-736-2683
28,100080,Ginger Parsons,5080,Ap #656-5873 Tempor Street,NEW YORK,NEWYORK,96723,023-042-9491
29,100016,Charles Kline,5016,"P.O.Box 813, 1183 Eu Avenue",Los Angeles,California,59133,017-889-8768
30,100041,Hyatt Barrera,5041,7262 Accumsan Rd.,BOSTON,MASSAACHUSETTS,94212,044-423-9552
31,100034,Remedios Petty,5034,980-5548 Elit. Avenue,SAN ANTONIO,TEXAS,90974,023-898-5710
32,100030,Sandra Todd,5030,"7787 A, Ave",CHICAGO,ILLINOIS,81141,010-529-0359
33,100031,Flavia Peterson,5031,5619 Curabitur Rd.,COLUMBUS,OHIO,87353,001-474-7424
34,100063,Scarlet Burks,5063,"Ap #259-8013 Lectus, Av.",WASHINGTON,DISTRICT OF COLUMBIA,73209,059-640-8574
35,100074,Carly Parker,5074,9331 Ipsum. Ave,NEW YORK,NEWYORK,66948,016-408-0204
36,100000,Emerald Harris,5000,"Ap #995-9477 Ullamcorper, Av.",COLOUMBS,OHIO,70747,023-016-5644
37,100066,Remedios Webster,5066,"P.O. Box 313, 6496 Molestie Street",SAN DIEGO,CALIFORNIA,60332,016-001-0677
38,100043,Rose Parrish,5043,"P.O. Box 162, 1300 Aliquam St.",PHILADELPHIA,PENNSYLVANIA,75471,056-404-8577
39,100038,Adena Carrillo,5038,"797 Elementum, Ave",Los Angeles,California,59333,039-743-1239
40,100073,Noah Stephenson,5073,Ap #485-2857 Lobortis. Road,SAN FRANSISCO,CALIFORNIA,59496,048-167-8643
41,100029,Harrison Gillespie,5029,"P.O. Box 922, 5545 A, Rd.",WASHINGTON,DISTRICT OF COLUMBIA,95404,073-712-9491
42,100037,Lareina Peterson,5037,912-4636 Iaculis Av.,COLOUMBS,OHIO,90997,056-387-0122
43,100090,Robin Mcguire,5090,315-9402 Suspendisse St.,PHILADELPHIA,PENNSYLVANIA,83053,036-435-1094
44,100036,Chava Schwartz,5036,110-4723 Sit St.,SAN FRANSISCO,California,91197,059-361-4032
45,100065,Damian Norris,5065,"196-3699 Vulputate, St.",DALLAS,TEXAS,84667,039-271-0676
46,100033,Hiroko Harrell,5033,Ap #104-9204 At Rd.,SAN DIEGO,CALIFORNIA,74328,097-209-4846
